Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Monthly Charges,Total Charges,CLTV,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check
0,0,0,0,1,1,0,0,0,0,0,0,0,0,19.65,19.65,5881,False,False,False,True,False,False,True
1,0,1,1,52,0,1,0,1,0,0,1,1,0,44.25,2276.1,6340,True,False,False,False,False,False,False
1,0,0,0,3,1,0,1,1,0,1,1,0,1,105.35,323.25,3662,False,True,True,False,False,False,False
1,0,0,0,20,1,0,0,0,0,0,0,0,1,19.6,356.15,5909,False,False,False,True,True,False,False
1,0,0,0,52,1,0,0,1,0,0,1,0,1,83.8,4331.4,6339,False,False,True,False,True,False,False
0,1,1,0,40,0,0,1,0,0,1,0,0,1,39.3,1637.4,2296,True,False,False,False,False,True,False
1,0,0,0,3,1,0,0,0,0,0,1,0,1,80.35,253.8,4203,False,False,True,False,False,True,False
1,1,0,0,4,1,0,0,0,0,0,0,0,1,70.65,293.85,4510,False,False,True,False,False,True,False
1,0,0,0,29,1,0,0,0,0,0,1,0,1,84.9,2516.2,4388,False,True,True,False,False,True,False
1,0,0,0,67,1,0,0,0,0,0,0,1,1,19.45,1195.95,5343,False,False,False,True,False,False,True
0,0,1,0,17,1,0,0,1,0,1,0,0,0,88.25,1460.65,4041,False,True,True,False,False,True,False
1,0,1,1,11,1,0,0,1,0,1,0,0,1,59.65,683.25,2136,False,False,False,False,False,False,False
1,0,0,0,65,1,1,0,0,1,0,1,1,0,93.55,6069.25,5774,False,True,True,False,False,True,False
1,1,1,1,60,1,1,0,0,0,0,0,0,1,80.95,4859.1,6214,False,True,True,False,False,True,False
0,0,1,0,59,1,0,0,1,1,1,0,0,0,93.35,5386.5,4814,False,True,True,False,False,True,False
1,0,0,0,3,0,0,1,0,0,0,0,0,1,29.6,79.45,2734,True,False,False,False,False,True,False
1,0,1,0,33,1,1,1,1,0,1,0,0,1,72.75,2447.45,4959,False,True,False,False,False,False,False
0,1,0,0,15,1,1,0,1,1,0,1,0,1,96.3,1426.75,2933,False,False,True,False,False,False,True
1,0,0,0,7,1,0,0,0,0,0,0,0,1,44.65,322.5,4300,False,False,False,False,False,False,False
0,0,0,0,7,1,1,1,0,1,1,1,0,1,78.5,571.05,3601,False,False,False,False,False,True,False
1,0,0,0,11,1,0,0,0,1,0,0,0,1,73.85,926.25,3634,False,False,True,False,False,True,False
1,0,1,1,9,1,0,1,0,1,1,1,0,1,101.5,906.85,2757,False,False,True,False,False,True,False
0,1,0,0,4,1,0,1,1,0,1,1,0,1,99.8,442.85,2268,False,False,True,False,True,False,False
0,0,1,1,11,1,1,0,0,0,0,0,0,0,51.0,581.7,5777,False,False,False,False,False,False,False
0,0,0,0,9,1,0,0,0,0,0,0,0,1,43.75,405.7,5644,False,False,False,False,False,True,False
1,0,1,0,36,1,0,0,0,0,0,0,1,0,20.0,666.75,4175,False,False,False,True,False,False,True
1,0,0,0,26,1,0,1,0,0,1,0,0,1,85.75,2146.5,3178,False,False,True,False,False,True,False
0,0,1,1,6,1,0,0,0,0,0,0,1,0,19.7,94.45,4122,False,False,False,True,False,False,True
1,0,1,0,47,1,0,0,0,0,1,1,1,1,95.2,4563.0,4977,False,True,True,False,True,False,False
1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.65,20.65,2729,False,False,False,True,False,True,False
0,1,0,0,1,1,0,0,1,0,0,1,0,1,85.0,85.0,2650,False,False,True,False,False,True,False
1,0,0,0,1,1,0,0,0,0,0,0,0,1,20.2,20.2,5355,False,False,False,True,False,False,True
1,1,1,0,41,1,0,1,1,1,1,1,1,1,111.95,4534.9,3711,False,True,True,False,False,True,False
1,0,0,0,9,1,0,0,0,0,0,0,0,1,44.4,348.15,5457,False,False,False,False,False,False,True
1,0,1,1,49,1,1,1,0,1,0,0,0,0,59.6,2970.3,4986,False,False,False,False,True,False,False
1,0,1,0,40,1,0,0,0,0,1,1,0,1,97.1,3706.95,3099,False,True,True,False,False,False,False
1,1,0,0,52,0,1,0,0,0,1,1,0,1,48.8,2555.05,4865,True,False,False,False,True,False,False
0,0,1,0,52,0,1,0,1,0,0,0,1,0,35.45,1958.95,5509,True,False,False,False,False,False,True
1,1,1,0,54,1,0,0,0,0,0,0,0,0,74.0,3919.15,4991,False,True,True,False,False,False,False
0,0,1,0,44,1,0,0,0,0,1,1,0,1,96.1,4364.1,5606,False,True,True,False,False,True,False
0,0,1,0,66,1,0,1,1,1,0,0,1,1,90.55,6130.95,4958,False,True,True,False,False,False,False
1,0,1,1,55,1,0,1,0,1,0,0,0,0,79.4,4238.45,4162,False,False,True,False,False,True,False
0,0,1,0,67,1,1,1,1,0,0,1,1,0,75.1,5064.45,4931,False,True,False,False,False,False,True
0,0,0,0,10,0,0,1,0,1,0,0,0,0,36.25,374.0,4571,True,False,False,False,False,True,False
1,1,1,0,46,1,0,0,0,0,0,1,0,1,80.4,3605.2,4876,False,False,True,False,False,True,False
0,0,0,0,3,1,0,0,0,0,1,1,0,1,96.6,291.9,3260,False,True,True,False,False,True,False
0,0,1,1,45,0,1,0,0,0,1,1,0,1,50.9,2333.85,3937,True,False,False,False,False,False,False
0,0,1,0,20,1,0,1,1,0,1,1,0,1,105.85,2239.65,4223,False,True,True,False,False,False,False
1,0,0,0,28,1,0,0,1,1,0,1,0,0,91.0,2626.15,2448,False,False,True,False,False,True,False
0,0,0,0,46,1,0,1,1,0,0,1,1,1,94.15,4408.45,3924,False,True,True,False,False,True,False
0,0,0,0,1,1,0,1,0,0,0,0,0,1,48.6,48.6,3704,False,False,False,False,False,True,False
0,0,0,0,29,1,0,0,0,0,0,0,0,1,76.0,2215.25,5324,False,True,True,False,True,False,False
1,0,0,0,13,1,0,1,0,1,1,1,0,0,73.35,931.55,4645,False,False,False,False,False,False,True
1,0,0,0,1,1,0,0,0,0,0,0,0,1,70.05,70.05,2699,False,False,True,False,False,True,False
0,1,1,0,1,1,0,0,0,0,0,0,0,1,20.85,20.85,3817,False,False,False,True,False,False,True
1,0,0,0,24,1,0,1,1,1,0,0,0,1,85.95,2107.15,5421,False,False,True,False,False,True,False
